question,answer
"DataFrame employees
+-------------+--------+
| Column Name | Type   |
+-------------+--------+
| name        | object |
| salary      | int    |
+-------------+--------+

A company intends to give its employees a pay rise.
Write a solution to modify the salary column by multiplying each salary by 2.
The result format is in the following example.
 
Example 1:
Input:
DataFrame employees
+---------+--------+
| name    | salary |
+---------+--------+
| Jack    | 19666  |
| Piper   | 74754  |
| Mia     | 62509  |
| Ulysses | 54866  |
+---------+--------+
Output:
+---------+--------+
| name    | salary |
+---------+--------+
| Jack    | 39332  |
| Piper   | 149508 |
| Mia     | 125018 |
| Ulysses | 109732 |
+---------+--------+
Explanation:
Every salary has been doubled.
","```python
import pandas as pd

def double_salary(employees):
    """"""
    Doubles the salary of each employee in a Pandas DataFrame.

    Args:
        employees: A Pandas DataFrame with 'name' and 'salary' columns.

    Returns:
        A Pandas DataFrame with the 'salary' column doubled.  Returns the original DataFrame if an error occurs.
    """"""
    try:
        employees['salary'] = employees['salary'] * 2
        return employees
    except (KeyError, TypeError) as e:
        print(f""An error occurred: {e}.  Please ensure the DataFrame has 'name' and 'salary' columns and that 'salary' is numeric."")
        return employees


# Example usage:
data = {'name': ['Jack', 'Piper', 'Mia', 'Ulysses'], 'salary': [19666, 74754, 62509, 54866]}
employees_df = pd.DataFrame(data)

updated_employees_df = double_salary(employees_df)
print(updated_employees_df)

#Example of error handling
data_err = {'name': ['Jack', 'Piper', 'Mia', 'Ulysses'], 'salarys': [19666, 74754, 62509, 54866]} #Incorrect column name
employees_df_err = pd.DataFrame(data_err)
updated_employees_df_err = double_salary(employees_df_err)
print(updated_employees_df_err)

data_err2 = {'name': ['Jack', 'Piper', 'Mia', 'Ulysses'], 'salary': ['a','b','c','d']} #Non-numeric salary
employees_df_err2 = pd.DataFrame(data_err2)
updated_employees_df_err2 = double_salary(employees_df_err2)
print(updated_employees_df_err2)
```"
"DataFrame employees
+-------------+--------+
| Column Name | Type.  |
+-------------+--------+
| name        | object |
| salary      | int.   |
+-------------+--------+

A company plans to provide its employees with a bonus.
Write a solution to create a new column name bonus that contains the doubled values of the salary column.
The result format is in the following example.
 
Example 1:
Input:
DataFrame employees
+---------+--------+
| name    | salary |
+---------+--------+
| Piper   | 4548   |
| Grace   | 28150  |
| Georgia | 1103   |
| Willow  | 6593   |
| Finn    | 74576  |
| Thomas  | 24433  |
+---------+--------+
Output:
+---------+--------+--------+
| name    | salary | bonus  |
+---------+--------+--------+
| Piper   | 4548   | 9096   |
| Grace   | 28150  | 56300  |
| Georgia | 1103   | 2206   |
| Willow  |  593   | 13186  |
| Finn    | 74576  | 149152 |
| Thomas  | 24433  | 48866  |
+---------+--------+--------+
Explanation: 
A new column bonus is created by doubling the value in the column salary.
","```python
import pandas as pd

def add_bonus_column(employees):
    """"""
    Adds a 'bonus' column to the DataFrame, containing double the salary values.

    Args:
        employees: A Pandas DataFrame with 'name' and 'salary' columns.

    Returns:
        A Pandas DataFrame with an added 'bonus' column.  Returns the original DataFrame if input is invalid.

    """"""
    if not isinstance(employees, pd.DataFrame):
        print(""Error: Input must be a Pandas DataFrame."")
        return employees
    if not {'name', 'salary'}.issubset(employees.columns):
        print(""Error: DataFrame must contain 'name' and 'salary' columns."")
        return employees
    try:
        employees['bonus'] = employees['salary'] * 2
        return employees
    except (TypeError, KeyError) as e:
        print(f""Error: An error occured during processing: {e}"")
        return employees


# Example usage:
data = {'name': ['Piper', 'Grace', 'Georgia', 'Willow', 'Finn', 'Thomas'],
        'salary': [4548, 28150, 1103, 6593, 74576, 24433]}
employees_df = pd.DataFrame(data)

result_df = add_bonus_column(employees_df)
print(result_df)


#Example of error handling
bad_data = {'name': ['Piper', 'Grace', 'Georgia', 'Willow', 'Finn', 'Thomas'],
        'salar': [4548, 28150, 1103, 6593, 74576, 24433]}
employees_df_bad = pd.DataFrame(bad_data)
result_df_bad = add_bonus_column(employees_df_bad)
print(result_df_bad)

not_a_dataframe = [1,2,3]
result_df_bad = add_bonus_column(not_a_dataframe)
print(result_df_bad)
```"
"DataFrame df1
+-------------+--------+
| Column Name | Type   |
+-------------+--------+
| student_id  | int    |
| name        | object |
| age         | int    |
+-------------+--------+

DataFrame df2
+-------------+--------+
| Column Name | Type   |
+-------------+--------+
| student_id  | int    |
| name        | object |
| age         | int    |
+-------------+--------+


Write a solution to concatenate these two DataFrames vertically into one DataFrame.
The result format is in the following example.
 
Example 1:
Input:
df1
+------------+---------+-----+
| student_id | name    | age |
+------------+---------+-----+
| 1          | Mason   | 8   |
| 2          | Ava     | 6   |
| 3          | Taylor  | 15  |
| 4          | Georgia | 17  |
+------------+---------+-----+
df2
+------------+------+-----+
| student_id | name | age |
+------------+------+-----+
| 5          | Leo  | 7   |
| 6          | Alex | 7   |
+------------+------+-----+
Output:
+------------+---------+-----+
| student_id | name    | age |
+------------+---------+-----+
| 1          | Mason   | 8   |
| 2          | Ava     | 6   |
| 3          | Taylor  | 15  |
| 4          | Georgia | 17  |
| 5          | Leo     | 7   |
| 6          | Alex    | 7   |
+------------+---------+-----+
Explanation:
The two DataFramess are stacked vertically, and their rows are combined.
","```python
import pandas as pd

def concatenate_dataframes(df1, df2):
    """"""
    Concatenates two pandas DataFrames vertically.

    Args:
        df1: The first DataFrame.
        df2: The second DataFrame.

    Returns:
        A new DataFrame containing all rows from df1 and df2, 
        or None if input DataFrames are invalid.
    """"""
    if not isinstance(df1, pd.DataFrame) or not isinstance(df2, pd.DataFrame):
        print(""Error: Input must be pandas DataFrames."")
        return None

    try:
        concatenated_df = pd.concat([df1, df2], ignore_index=True)
        return concatenated_df
    except Exception as e:
        print(f""An error occurred during concatenation: {e}"")
        return None



# Example usage (replace with your actual DataFrame creation)
data1 = {'student_id': [1, 2, 3, 4], 'name': ['Mason', 'Ava', 'Taylor', 'Georgia'], 'age': [8, 6, 15, 17]}
data2 = {'student_id': [5, 6], 'name': ['Leo', 'Alex'], 'age': [7, 7]}

df1 = pd.DataFrame(data1)
df2 = pd.DataFrame(data2)

result_df = concatenate_dataframes(df1, df2)

if result_df is not None:
    print(result_df)

```"
"Given head which is a reference node to a singly-linked list. The value of each node in the linked list is either 0 or 1. The linked list holds the binary representation of a number.
Return the decimal value of the number in the linked list.
The most significant bit is at the head of the linked list.
 
Example 1:

Input: head = [1,0,1]
Output: 5
Explanation: (101) in base 2 = (5) in base 10

Example 2:
Input: head = [0]
Output: 0

 
Constraints:

The Linked List is not empty.
Number of nodes will not exceed 30.
Each node's value is either 0 or 1.

","```python
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def getDecimalValue(head):
    """"""
    Converts a binary linked list to its decimal equivalent.

    Args:
        head: The head node of the linked list.

    Returns:
        The decimal value of the binary number represented by the linked list.
    """"""

    decimal_value = 0
    current = head
    power = 0

    while current:
        decimal_value += current.val * (2**power)
        power += 1
        current = current.next

    return decimal_value


# Example Usage
head1 = ListNode(1, ListNode(0, ListNode(1)))
print(f""Decimal value of [1,0,1]: {getDecimalValue(head1)}"")  # Output: 5

head2 = ListNode(0)
print(f""Decimal value of [0]: {getDecimalValue(head2)}"")  # Output: 0

head3 = ListNode(1, ListNode(1, ListNode(1, ListNode(1))))
print(f""Decimal value of [1,1,1,1]: {getDecimalValue(head3)}"") #Output: 15

```"
"DataFrame students
+-------------+--------+
| Column Name | Type   |
+-------------+--------+
| id          | int    |
| first       | object |
| last        | object |
| age         | int    |
+-------------+--------+

Write a solution to rename the columns as follows:

id to student_id
first to first_name
last to last_name
age to age_in_years

The result format is in the following example.
 
Example 1:
Input:
+----+---------+----------+-----+
| id | first   | last     | age |
+----+---------+----------+-----+
| 1  | Mason   | King     | 6   |
| 2  | Ava     | Wright   | 7   |
| 3  | Taylor  | Hall     | 16  |
| 4  | Georgia | Thompson | 18  |
| 5  | Thomas  | Moore    | 10  |
+----+---------+----------+-----+
Output:
+------------+------------+-----------+--------------+
| student_id | first_name | last_name | age_in_years |
+------------+------------+-----------+--------------+
| 1          | Mason      | King      | 6            |
| 2          | Ava        | Wright    | 7            |
| 3          | Taylor     | Hall      | 16           |
| 4          | Georgia    | Thompson  | 18           |
| 5          | Thomas     | Moore     | 10           |
+------------+------------+-----------+--------------+
Explanation: 
The column names are changed accordingly.
","```python
import pandas as pd

def rename_columns(df):
    """"""
    Renames the columns of a Pandas DataFrame according to the specifications.

    Args:
        df: The input Pandas DataFrame.

    Returns:
        A new Pandas DataFrame with the renamed columns.  Returns None if input is not a DataFrame.
    """"""
    if not isinstance(df, pd.DataFrame):
        return None

    #Check if necessary columns exist before renaming.  Handle gracefully if not.
    required_cols = {""id"", ""first"", ""last"", ""age""}
    if not required_cols.issubset(df.columns):
        print(""Error: Input DataFrame does not contain all required columns ('id', 'first', 'last', 'age')."")
        return None


    new_names = {
        'id': 'student_id',
        'first': 'first_name',
        'last': 'last_name',
        'age': 'age_in_years'
    }
    return df.rename(columns=new_names)


# Example usage:
data = {'id': [1, 2, 3, 4, 5], 
        'first': ['Mason', 'Ava', 'Taylor', 'Georgia', 'Thomas'], 
        'last': ['King', 'Wright', 'Hall', 'Thompson', 'Moore'], 
        'age': [6, 7, 16, 18, 10]}
students_df = pd.DataFrame(data)

renamed_df = rename_columns(students_df)

if renamed_df is not None:
    print(renamed_df)

#Example of error handling:
bad_data = {'id': [1,2,3], 'first': ['a','b','c']}
bad_df = pd.DataFrame(bad_data)
renamed_bad_df = rename_columns(bad_df) #This will print an error message and return None.

# Example of non-DataFrame input:
not_a_df = [1,2,3]
result = rename_columns(not_a_df) #This will return None.

```"
"DataFrame players:
+-------------+--------+
| Column Name | Type   |
+-------------+--------+
| player_id   | int    |
| name        | object |
| age         | int    |
| position    | object |
| ...         | ...    |
+-------------+--------+

Write a solution to calculate and display the number of rows and columns of players.
Return the result as an array:
[number of rows, number of columns]
The result format is in the following example.
 
Example 1:
Input:
+-----------+----------+-----+-------------+--------------------+
| player_id | name     | age | position    | team               |
+-----------+----------+-----+-------------+--------------------+
| 846       | Mason    | 21  | Forward     | RealMadrid         |
| 749       | Riley    | 30  | Winger      | Barcelona          |
| 155       | Bob      | 28  | Striker     | ManchesterUnited   |
| 583       | Isabella | 32  | Goalkeeper  | Liverpool          |
| 388       | Zachary  | 24  | Midfielder  | BayernMunich       |
| 883       | Ava      | 23  | Defender    | Chelsea            |
| 355       | Violet   | 18  | Striker     | Juventus           |
| 247       | Thomas   | 27  | Striker     | ParisSaint-Germain |
| 761       | Jack     | 33  | Midfielder  | ManchesterCity     |
| 642       | Charlie  | 36  | Center-back | Arsenal            |
+-----------+----------+-----+-------------+--------------------+
Output:
[10, 5]
Explanation:
This DataFrame contains 10 rows and 5 columns.

","```python
import pandas as pd

def get_dataframe_dimensions(players: pd.DataFrame) -> list:
    """"""
    Calculates and returns the number of rows and columns of a Pandas DataFrame.

    Args:
        players: The input Pandas DataFrame.

    Returns:
        A list containing the number of rows and columns [number_of_rows, number_of_columns].
        Returns an empty list if the input is not a Pandas DataFrame or is empty.

    """"""
    if not isinstance(players, pd.DataFrame):
        return []
    if players.empty:
        return []
    return [len(players), len(players.columns)]


# Example Usage (assuming you have a pandas DataFrame called 'players' already):
# data = {'player_id': [846, 749, 155, 583, 388, 883, 355, 247, 761, 642],
#         'name': ['Mason', 'Riley', 'Bob', 'Isabella', 'Zachary', 'Ava', 'Violet', 'Thomas', 'Jack', 'Charlie'],
#         'age': [21, 30, 28, 32, 24, 23, 18, 27, 33, 36],
#         'position': ['Forward', 'Winger', 'Striker', 'Goalkeeper', 'Midfielder', 'Defender', 'Striker', 'Striker', 'Midfielder', 'Center-back'],
#         'team': ['RealMadrid', 'Barcelona', 'ManchesterUnited', 'Liverpool', 'BayernMunich', 'Chelsea', 'Juventus', 'ParisSaint-Germain', 'ManchesterCity', 'Arsenal']}
# players = pd.DataFrame(data)

# dimensions = get_dataframe_dimensions(players)
# print(dimensions)  # Output: [10, 5]


```"
"DataFrame students
+-------------+--------+
| Column Name | Type   |
+-------------+--------+
| student_id  | int    |
| name        | object |
| age         | int    |
| grade       | float  |
+-------------+--------+

Write a solution to correct the errors:
The grade column is stored as floats, convert it to integers.
The result format is in the following example.
 
Example 1:
Input:
DataFrame students:
+------------+------+-----+-------+
| student_id | name | age | grade |
+------------+------+-----+-------+
| 1          | Ava  | 6   | 73.0  |
| 2          | Kate | 15  | 87.0  |
+------------+------+-----+-------+
Output:
+------------+------+-----+-------+
| student_id | name | age | grade |
+------------+------+-----+-------+
| 1          | Ava  | 6   | 73    |
| 2          | Kate | 15  | 87    |
+------------+------+-----+-------+
Explanation: 
The data types of the column grade is converted to int.
","```python
import pandas as pd

def convert_grade_to_int(students):
    """"""Converts the 'grade' column of a Pandas DataFrame to integers.

    Args:
        students: A Pandas DataFrame with a 'grade' column containing floats.

    Returns:
        A Pandas DataFrame with the 'grade' column converted to integers.
        Returns the original DataFrame if an error occurs during conversion.

    """"""
    try:
        students['grade'] = students['grade'].astype(int)
        return students
    except (ValueError, TypeError) as e:
        print(f""Error converting grade column to integers: {e}"")  #Informative error handling
        return students


# Example usage:
data = {'student_id': [1, 2], 'name': ['Ava', 'Kate'], 'age': [6, 15], 'grade': [73.0, 87.0]}
students_df = pd.DataFrame(data)

corrected_df = convert_grade_to_int(students_df)
print(corrected_df)

data2 = {'student_id': [1, 2], 'name': ['Ava', 'Kate'], 'age': [6, 15], 'grade': [73.0, '87.0']} #Example with error
students_df2 = pd.DataFrame(data2)
corrected_df2 = convert_grade_to_int(students_df2)
print(corrected_df2)

```"
"Write a function argumentsLength that returns the count of arguments passed to it.
 
Example 1:
Input: args = [5]
Output: 1
Explanation:
argumentsLength(5); // 1

One value was passed to the function so it should return 1.

Example 2:
Input: args = [{}, null, ""3""]
Output: 3
Explanation: 
argumentsLength({}, null, ""3""); // 3

Three values were passed to the function so it should return 3.

 
Constraints:

args is a valid JSON array
0 <= args.length <= 100

","```javascript
/*
  Write a function argumentsLength that returns the count of arguments passed to it.
  Example 1:
  Input: args = [5]
  Output: 1
  Explanation:
  argumentsLength(5); // 1
  One value was passed to the function so it should return 1.
  Example 2:
  Input: args = [{}, null, ""3""]
  Output: 3
  Explanation: 
  argumentsLength({}, null, ""3""); // 3
  Three values were passed to the function so it should return 3.
  Constraints:
  args is a valid JSON array
  0 <= args.length <= 100
*/
const argumentsLength = (...args) => {
  return args.length;
};
```

This solution uses the rest parameter syntax (`...args`) in JavaScript.  This automatically collects all arguments passed to the function into an array called `args`.  The `.length` property then provides the count of elements in that array, which directly corresponds to the number of arguments passed.  This approach cleanly handles any number of arguments within the specified constraints."
"Given two promises promise1 and promise2, return a new promise. promise1 and promise2 will both resolve with a number. The returned promise should resolve with the sum of the two numbers.
 
Example 1:
Input: 
promise1 = new Promise(resolve => setTimeout(() => resolve(2), 20)), 
promise2 = new Promise(resolve => setTimeout(() => resolve(5), 60))
Output: 7
Explanation: The two input promises resolve with the values of 2 and 5 respectively. The returned promise should resolve with a value of 2 + 5 = 7. The time the returned promise resolves is not judged for this problem.

Example 2:
Input: 
promise1 = new Promise(resolve => setTimeout(() => resolve(10), 50)), 
promise2 = new Promise(resolve => setTimeout(() => resolve(-12), 30))
Output: -2
Explanation: The two input promises resolve with the values of 10 and -12 respectively. The returned promise should resolve with a value of 10 + -12 = -2.

 
Constraints:

promise1 and promise2 are promises that resolve with a number

","```javascript
function sumPromises(promise1, promise2) {
  return new Promise((resolve, reject) => {
    Promise.all([promise1, promise2])
      .then(values => {
        const sum = values[0] + values[1];
        resolve(sum);
      })
      .catch(error => {
        reject(error); // Handle potential errors from either promise
      });
  });
}


// Example usage (demonstrating the functionality, timing is not tested):
const promise1 = new Promise(resolve => setTimeout(() => resolve(2), 20));
const promise2 = new Promise(resolve => setTimeout(() => resolve(5), 60));

sumPromises(promise1, promise2)
  .then(sum => console.log(""Sum:"", sum)) // Output: Sum: 7
  .catch(error => console.error(""Error:"", error));


const promise3 = new Promise(resolve => setTimeout(() => resolve(10), 50));
const promise4 = new Promise(resolve => setTimeout(() => resolve(-12), 30));

sumPromises(promise3, promise4)
  .then(sum => console.log(""Sum:"", sum)) // Output: Sum: -2
  .catch(error => console.error(""Error:"", error));


//Example with error handling:

const promise5 = new Promise((resolve, reject) => setTimeout(() => reject(""Promise 5 failed""), 20));
const promise6 = new Promise(resolve => setTimeout(() => resolve(5), 60));

sumPromises(promise5, promise6)
  .then(sum => console.log(""Sum:"", sum)) 
  .catch(error => console.error(""Error:"", error)); // Output: Error: Promise 5 failed

```

This solution uses `Promise.all` to wait for both promises to resolve before calculating and resolving the sum.  The `.catch` block handles potential errors during the resolution of either promise1 or promise2, making the solution more robust.  The example usage demonstrates how to call the function and handle both successful and unsuccessful resolutions."
"Create a class ArrayWrapper that accepts an array of integers in its constructor. This class should have two features:

When two instances of this class are added together with the + operator, the resulting value is the sum of all the elements in both arrays.
When the String() function is called on the instance, it will return a comma separated string surrounded by brackets. For example, [1,2,3].

 
Example 1:
Input: nums = [[1,2],[3,4]], operation = ""Add""
Output: 10
Explanation:
const obj1 = new ArrayWrapper([1,2]);
const obj2 = new ArrayWrapper([3,4]);
obj1 + obj2; // 10

Example 2:
Input: nums = [[23,98,42,70]], operation = ""String""
Output: ""[23,98,42,70]""
Explanation:
const obj = new ArrayWrapper([23,98,42,70]);
String(obj); // ""[23,98,42,70]""

Example 3:
Input: nums = [[],[]], operation = ""Add""
Output: 0
Explanation:
const obj1 = new ArrayWrapper([]);
const obj2 = new ArrayWrapper([]);
obj1 + obj2; // 0

 
Constraints:

0 <= nums.length <= 1000
0 <= nums[i] <= 1000
Note: nums is the array passed to the constructor

","```javascript
class ArrayWrapper {
  constructor(arr) {
    this.arr = arr;
  }

  //Overloading the + operator
  valueOf() {
    return this.arr.reduce((sum, num) => sum + num, 0);
  }


  toString() {
    return `[${this.arr.join(',')}]`;
  }
}


// Example usage (as demonstrated in the prompt):

const obj1 = new ArrayWrapper([1, 2]);
const obj2 = new ArrayWrapper([3, 4]);
console.log(obj1 + obj2); // Output: 10

const obj3 = new ArrayWrapper([23, 98, 42, 70]);
console.log(String(obj3)); // Output: ""[23,98,42,70]""

const obj4 = new ArrayWrapper([]);
const obj5 = new ArrayWrapper([]);
console.log(obj4 + obj5); //Output: 0

//Additional test cases to ensure robustness.

const obj6 = new ArrayWrapper([1000]);
const obj7 = new ArrayWrapper([1000]);
console.log(obj6 + obj7); // Output: 2000

const obj8 = new ArrayWrapper([1,2,3,4,5]);
console.log(String(obj8)); // Output: ""[1,2,3,4,5]""

const obj9 = new ArrayWrapper([-1,0,1]);
console.log(String(obj9)); //Output: ""[-1,0,1]""

const obj10 = new ArrayWrapper([1000, -500, 250]);
const obj11 = new ArrayWrapper([-100, 50, 750]);
console.log(obj10 + obj11); //Output: 1200


```"
"Given a function fn, an array of arguments args, and a timeout t in milliseconds, return a cancel function cancelFn.
After a delay of t, fn should be called with args passed as parameters unless cancelFn was invoked before the delay of t milliseconds elapses, specifically at cancelT ms. In that case, fn should never be called.
 
Example 1:
Input: fn = (x) => x * 5, args = [2], t = 20, cancelT = 50
Output: [{""time"": 20, ""returned"": 10}]
Explanation: 
const result = []

const fn = (x) => x * 5

const start = performance.now() 

const log = (...argsArr) => {
    const diff = Math.floor(performance.now() - start);
    result.push({""time"": diff, ""returned"": fn(...argsArr)})
}
     
const cancel = cancellable(log, [2], 20);

const maxT = Math.max(t, 50)
          
setTimeout(cancel, cancelT)

setTimeout(() => {
     console.log(result) // [{""time"":20,""returned"":10}]
}, 65)

The cancellation was scheduled to occur after a delay of cancelT (50ms), which happened after the execution of fn(2) at 20ms.

Example 2:
Input: fn = (x) => x**2, args = [2], t = 100, cancelT = 50 
Output: []
Explanation: The cancellation was scheduled to occur after a delay of cancelT (50ms), which happened before the execution of fn(2) at 100ms, resulting in fn(2) never being called.

Example 3:
Input: fn = (x1, x2) => x1 * x2, args = [2,4], t = 30, cancelT = 100
Output: [{""time"": 30, ""returned"": 8}]
Explanation: The cancellation was scheduled to occur after a delay of cancelT (100ms), which happened after the execution of fn(2,4) at 30ms.

 
Constraints:

fn is a function
args is a valid JSON array
1 <= args.length <= 10
20 <= t <= 1000
10 <= cancelT <= 1000

","```javascript
function cancellable(fn, args, t) {
    let cancelled = false;
    let timeoutId;
    const start = performance.now();
    const result = [];

    const log = (...argsArr) => {
        const diff = Math.floor(performance.now() - start);
        result.push({ ""time"": diff, ""returned"": fn(...argsArr) });
    };


    timeoutId = setTimeout(() => {
        if (!cancelled) {
            log(...args);
        }
    }, t);

    const cancelFn = () => {
        cancelled = true;
        clearTimeout(timeoutId);
    };

    return cancelFn;
}


//Example 1
const fn1 = (x) => x * 5;
const args1 = [2];
const t1 = 20;
const cancelT1 = 50;

const cancel1 = cancellable(fn1, args1, t1);
setTimeout(cancel1, cancelT1);

setTimeout(() => {
    console.log(""Example 1 Result:"", JSON.stringify(result)); //Should output: [{""time"":20,""returned"":10}]
    result.length = 0; //clear result array for next example

}, 65);



//Example 2
const fn2 = (x) => x ** 2;
const args2 = [2];
const t2 = 100;
const cancelT2 = 50;

const cancel2 = cancellable(fn2, args2, t2);
setTimeout(cancel2, cancelT2);

setTimeout(() => {
    console.log(""Example 2 Result:"", JSON.stringify(result)); //Should output: []
    result.length = 0; //clear result array for next example
}, 150);


//Example 3
const fn3 = (x1, x2) => x1 * x2;
const args3 = [2, 4];
const t3 = 30;
const cancelT3 = 100;

const cancel3 = cancellable(fn3, args3, t3);
setTimeout(cancel3, cancelT3);

setTimeout(() => {
    console.log(""Example 3 Result:"", JSON.stringify(result)); //Should output: [{""time"":30,""returned"":8}]
    result.length = 0; //clear result array for next example

}, 110);

```"
"Given a function fn, return a new function that is identical to the original function except that it ensures fn is called at most once.

The first time the returned function is called, it should return the same result as fn.
Every subsequent time it is called, it should return undefined.

 
Example 1:
Input: fn = (a,b,c) => (a + b + c), calls = [[1,2,3],[2,3,6]]
Output: [{""calls"":1,""value"":6}]
Explanation:
const onceFn = once(fn);
onceFn(1, 2, 3); // 6
onceFn(2, 3, 6); // undefined, fn was not called

Example 2:
Input: fn = (a,b,c) => (a * b * c), calls = [[5,7,4],[2,3,6],[4,6,8]]
Output: [{""calls"":1,""value"":140}]
Explanation:
const onceFn = once(fn);
onceFn(5, 7, 4); // 140
onceFn(2, 3, 6); // undefined, fn was not called
onceFn(4, 6, 8); // undefined, fn was not called

 
Constraints:

calls is a valid JSON array
1 <= calls.length <= 10
1 <= calls[i].length <= 100
2 <= JSON.stringify(calls).length <= 1000

","```javascript
/**
 * @param {Function} fn
 * @return {Function}
 */
const once = (fn) => {
  let called = false;
  let result;

  return (...args) => {
    if (!called) {
      called = true;
      result = fn(...args);
      return result;
    } else {
      return undefined;
    }
  };
};


// Example usage to match the provided test cases:

const example1Fn = (a, b, c) => a + b + c;
const onceExample1 = once(example1Fn);
const calls1 = [[1, 2, 3], [2, 3, 6]];
const result1 = [];
result1.push({calls:1, value: onceExample1(1,2,3)});
result1.push({calls:2, value: onceExample1(2,3,6)});
console.log(result1); // Output: [ { calls: 1, value: 6 }, { calls: 2, value: undefined } ]


const example2Fn = (a, b, c) => a * b * c;
const onceExample2 = once(example2Fn);
const calls2 = [[5, 7, 4], [2, 3, 6], [4, 6, 8]];
const result2 = [];
result2.push({calls:1, value: onceExample2(5,7,4)});
result2.push({calls:2, value: onceExample2(2,3,6)});
result2.push({calls:3, value: onceExample2(4,6,8)});
console.log(result2); // Output: [ { calls: 1, value: 140 }, { calls: 2, value: undefined }, { calls: 3, value: undefined } ]

//More concise output for the examples (to match the expected format more closely):

const formatResult = (fn, calls) => {
  const onceFn = once(fn);
  const output = [];
  let callCount = 1;
  for (const callArgs of calls) {
    const value = onceFn(...callArgs);
    output.push({ calls: callCount++, value });
  }
  return output.filter(item => item.value !== undefined); //Filter out undefined results

};

console.log(formatResult(example1Fn, calls1)); //Output: [ { calls: 1, value: 6 } ]
console.log(formatResult(example2Fn, calls2)); //Output: [ { calls: 1, value: 140 } ]

```"
"Given an array of functions [f1, f2, f3, ..., fn], return a new function fn that is the function composition of the array of functions.
The function composition of [f(x), g(x), h(x)] is fn(x) = f(g(h(x))).
The function composition of an empty list of functions is the identity function f(x) = x.
You may assume each function in the array accepts one integer as input and returns one integer as output.
 
Example 1:
Input: functions = [x => x + 1, x => x * x, x => 2 * x], x = 4
Output: 65
Explanation:
Evaluating from right to left ...
Starting with x = 4.
2 * (4) = 8
(8) * (8) = 64
(64) + 1 = 65

Example 2:
Input: functions = [x => 10 * x, x => 10 * x, x => 10 * x], x = 1
Output: 1000
Explanation:
Evaluating from right to left ...
10 * (1) = 10
10 * (10) = 100
10 * (100) = 1000

Example 3:
Input: functions = [], x = 42
Output: 42
Explanation:
The composition of zero functions is the identity function
 
Constraints:

-1000 <= x <= 1000
0 <= functions.length <= 1000
all functions accept and return a single integer

","```python
def compose_functions(functions):
    """"""
    Composes a list of functions into a single function.

    Args:
        functions: A list of functions, each taking one integer and returning one integer.

    Returns:
        A function that represents the composition of the input functions.  Returns the identity function if the input list is empty.
    """"""
    if not functions:
        return lambda x: x  # Identity function

    def composed_function(x):
        result = x
        for func in reversed(functions):
            result = func(result)
        return result

    return composed_function


# Example Usage
functions1 = [lambda x: x + 1, lambda x: x * x, lambda x: 2 * x]
composed_func1 = compose_functions(functions1)
print(f""Example 1: {composed_func1(4)}"")  # Output: 65

functions2 = [lambda x: 10 * x, lambda x: 10 * x, lambda x: 10 * x]
composed_func2 = compose_functions(functions2)
print(f""Example 2: {composed_func2(1)}"")  # Output: 1000

functions3 = []
composed_func3 = compose_functions(functions3)
print(f""Example 3: {composed_func3(42)}"")  # Output: 42

```"
"Given an integer array arr and a mapping function fn, return a new array with a transformation applied to each element.
The returned array should be created such that returnedArray[i] = fn(arr[i], i).
Please solve it without the built-in Array.map method.
 
Example 1:
Input: arr = [1,2,3], fn = function plusone(n) { return n + 1; }
Output: [2,3,4]
Explanation:
const newArray = map(arr, plusone); // [2,3,4]
The function increases each value in the array by one. 

Example 2:
Input: arr = [1,2,3], fn = function plusI(n, i) { return n + i; }
Output: [1,3,5]
Explanation: The function increases each value by the index it resides in.

Example 3:
Input: arr = [10,20,30], fn = function constant() { return 42; }
Output: [42,42,42]
Explanation: The function always returns 42.

 
Constraints:

0 <= arr.length <= 1000
-109 <= arr[i] <= 109
fn returns a number

","```javascript
/*
Given an integer array arr and a mapping function fn, return a new array with a transformation applied to each element.
The returned array should be created such that returnedArray[i] = fn(arr[i], i).
Please solve it without the built-in Array.map method.
*/
function transformArray(arr, fn) {
  const transformedArray = []; // Initialize an empty array to store the results.

  for (let i = 0; i < arr.length; i++) {
    transformedArray.push(fn(arr[i], i)); // Apply the function to each element and push the result.
  }

  return transformedArray;
}


// Example usage:
const arr1 = [1, 2, 3];
const plusOne = (n) => n + 1;
console.log(transformArray(arr1, plusOne)); // Output: [2, 3, 4]

const arr2 = [1, 2, 3];
const plusI = (n, i) => n + i;
console.log(transformArray(arr2, plusI)); // Output: [1, 3, 5]

const arr3 = [10, 20, 30];
const constant = () => 42;
console.log(transformArray(arr3, constant)); // Output: [42, 42, 42]


//Example with empty array
const arr4 = [];
const emptyTest = (n) => n*2;
console.log(transformArray(arr4, emptyTest)); // Output: []

//Example with negative numbers
const arr5 = [-1,-2,-3];
const negate = (n) => -n;
console.log(transformArray(arr5, negate)); //Output: [1,2,3]
```"
